ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R50,3,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.5,0.0,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R50,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.4706575585649341,8.618207475419583e-27,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R50,5,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.051840850227928e-26,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R101,1,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.639555501520048e-31,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R101,2,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.284271437174348e-28,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R101,3,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.4999050020771795e-43,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R101,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.5,0.0,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R101,5,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,8.77769839237837e-23,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R152,1,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.297531394895657e-25,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R152,2,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,1.1991308489938622e-34,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R152,3,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.45587688469335125,2.1417873449666097e-23,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R152,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.4365771449819478,2.0004163575678491e-25,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R152,5,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.0145819240585015e-34,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D121,1,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,8.302275037588458e-20,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D121,2,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.41986679701087937,3.57026535683386e-20,50,1.0,0.0
