ImageInput,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
384,D169,2,0.9380165289256198,0.9141326794011357,0.8848792716717244,0.8984984481167688,0.9690142618959087,0.03270712018579644,18,0.9725557461406518,0.7972027972027972
384,D169,3,0.9352617079889807,0.8969072164948454,0.8989972291859084,0.8979467930792122,0.9666572706881456,0.04979281759423186,10,0.9588336192109777,0.8391608391608392
384,D169,4,0.9400826446280992,0.918195587516627,0.8874851563530809,0.9017434692821946,0.9694670680948554,0.03765973334508201,13,0.9742710120068611,0.8006993006993007
384,D169,5,0.9325068870523416,0.8973306713989944,0.8867264810661037,0.8918890992581697,0.9600391032638032,0.037679436261509734,16,0.9622641509433962,0.8111888111888111
384,D201,1,0.9366391184573003,0.9185711606473046,0.8747855917667238,0.8944483952021998,0.9661354940085644,0.042704825413884304,10,0.9768439108061749,0.7727272727272727
384,D201,2,0.9318181818181818,0.9001991181908691,0.8797004881910542,0.8894333756633128,0.9651759047127829,0.03480871966116801,13,0.9656946826758147,0.7937062937062938
384,D201,3,0.9428374655647382,0.9240398547775264,0.8905198575009896,0.9059954462595445,0.9626359917955115,0.03915424806312465,14,0.9768439108061749,0.8041958041958042
384,D201,4,0.9297520661157025,0.8954126715548036,0.8784140387913972,0.8865527680070595,0.9658686082356751,0.035192673209505074,13,0.9631217838765008,0.7937062937062938
384,D201,5,0.9297520661157025,0.8920434350985992,0.883691779918195,0.8877795962902346,0.9578860247813936,0.03295923633152664,14,0.9596912521440824,0.8076923076923077
384,D264d,1,0.8877410468319559,0.83258521343256,0.7968399525003298,0.8127182504670649,0.9207799062001464,0.13024262162137898,41,0.9468267581475128,0.6468531468531469
384,D264d,2,0.8987603305785123,0.843362320461557,0.831409156880855,0.8371719221424185,0.9389971092372464,0.08603835657903215,44,0.9425385934819898,0.7202797202797203
384,D264d,3,0.8960055096418733,0.8423666000752772,0.8191384087610503,0.8299421614716442,0.9291073420575993,0.09294243271925975,36,0.9459691252144082,0.6923076923076923
384,D264d,4,0.9028925619834711,0.8547560253343992,0.8287043145533711,0.8407566571125225,0.9346879535558781,0.08807554900173001,50,0.951114922813036,0.7062937062937062
384,D264d,5,0.8925619834710744,0.8393849206349207,0.8077582794563927,0.8220515543935618,0.921325672612122,0.11536551088647032,38,0.9476843910806175,0.6678321678321678
384,Eff_b0,1,0.928374655647383,0.8906203785862171,0.8801952764216916,0.885270064518874,0.9565965766651872,0.04430128108456923,11,0.9596912521440824,0.8006993006993007
384,Eff_b0,2,0.9214876033057852,0.880969591226321,0.8666710647842724,0.8735527871737756,0.9548363300507383,0.043552841494837055,11,0.9571183533447685,0.7762237762237763
384,Eff_b0,3,0.928374655647383,0.894914351646401,0.8735981000131944,0.8836882579118603,0.9478763089397738,0.036814773772726794,11,0.9639794168096055,0.7832167832167832
384,Eff_b0,4,0.9221763085399449,0.8787224472802089,0.8736970576593218,0.8761764392915441,0.9611546258201489,0.04532521081153252,11,0.9536878216123499,0.7937062937062938
384,Eff_b0,5,0.9201101928374655,0.8750681942171303,0.8710911729779655,0.8730585568203744,0.9552291619186988,0.03637002757525808,11,0.9519725557461407,0.7902097902097902
384,Eff_b1,1,0.9387052341597796,0.9126814070671265,0.8892663939833751,0.9003257223469595,0.9687173889575262,0.030681123932722272,11,0.9708404802744426,0.8076923076923077
384,Eff_b1,2,0.928374655647383,0.894914351646401,0.8735981000131944,0.8836882579118603,0.9595413163166164,0.021481054461061626,16,0.9639794168096055,0.7832167832167832
384,Eff_b1,3,0.9331955922865014,0.9034493172895042,0.8805581211241589,0.8913662367152255,0.9561317756000431,0.0299438127678976,10,0.967409948542024,0.7937062937062938
384,Eff_b1,4,0.9359504132231405,0.9061220449553307,0.8875511281171659,0.896420558489524,0.9594963355683767,0.02027644514482027,13,0.967409948542024,0.8076923076923077
384,Eff_b1,5,0.9297520661157025,0.8945413758723828,0.8797334740730967,0.8868630201028518,0.957655123607096,0.028680645193774595,11,0.9622641509433962,0.7972027972027972
384,Eff_b2,1,0.9297520661157025,0.8904709947263139,0.8863306504815939,0.8883790758248119,0.9629088750014992,0.034637884232481445,10,0.9579759862778731,0.8146853146853147
384,Eff_b2,2,0.9201101928374655,0.8737300435413643,0.8737300435413643,0.8737300435413643,0.9495196056087994,0.030174448011669505,11,0.9502572898799314,0.7972027972027972
384,Eff_b2,3,0.9207988980716253,0.8772241014217749,0.8702005541628183,0.8736469333010477,0.9552111696194029,0.037504437392623616,9,0.9536878216123499,0.7867132867132867
384,Eff_b2,4,0.9201101928374655,0.8904259191845649,0.8473413379073756,0.8665255043172856,0.9353326776139813,0.02879225127697546,11,0.967409948542024,0.7272727272727273
384,Eff_b2,5,0.9290633608815427,0.8875192534880592,0.8885407045784404,0.8880286419553436,0.9469796926915279,0.02942251491669566,10,0.9554030874785592,0.8216783216783217
384,Eff_b3,1,0.9201101928374655,0.8743910380088752,0.8724106082596649,0.8733955711901863,0.9617483716969137,0.05072712347038796,9,0.951114922813036,0.7937062937062938
384,Eff_b3,2,0.9139118457300276,0.8661322406475447,0.859315213088798,0.8626597101098343,0.925820748719548,0.029536851501360137,12,0.9493996569468267,0.7692307692307693
384,Eff_b3,3,0.9304407713498623,0.9027644367744982,0.870926243567753,0.8856089165326988,0.9441099209538317,0.03712217296473774,10,0.9691252144082333,0.7727272727272727
384,Eff_b3,4,0.9194214876033058,0.8764485981308412,0.8653846153846154,0.8707539353769678,0.9437350813851672,0.042200013115595326,10,0.9545454545454546,0.7762237762237763
384,Eff_b3,5,0.9201101928374655,0.8771997929606625,0.8671328671328671,0.8720319950402825,0.9386642517002723,0.03950862560066384,10,0.9545454545454546,0.7797202797202797
384,Eff_b4,1,0.9049586776859504,0.8579117191533299,0.832629634516427,0.8443642871123787,0.9414710503904329,0.0552204548851243,13,0.9519725557461407,0.7132867132867133
