ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R50,5,0.9207988980716253,0.8697662194417876,0.8860337775432114,0.8775388970580147,0.965223884177572,0.09587196011566775,12
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R101,1,0.918732782369146,0.8631160360720109,0.8926639398337513,0.8766657068816586,0.9598981635859852,0.11157921328010786,11
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R101,2,0.9201101928374655,0.8730849083619702,0.8750494788230637,0.8740619999700916,0.9582908515155514,0.09505452059918293,14
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R101,3,0.912534435261708,0.8546425430330443,0.8808879799445837,0.8667700308430804,0.9641803308184097,0.11771566036933069,13
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R101,4,0.9166666666666666,0.863510241363562,0.8795025728987993,0.871149622121911,0.9638774604469287,0.10791012023555098,13
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R101,5,0.9194214876033058,0.8647778196590862,0.8917733210186041,0.8772605795955937,0.9595293214504192,0.10605577445590479,12
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,D121,1,0.9290633608815427,0.8822781755982387,0.899096186832036,0.8903174469302217,0.9628518993870623,0.12915488348840495,10
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,D121,2,0.928374655647383,0.8914403975561697,0.8788758411399921,0.8849585568015602,0.9594813419856301,0.07623445388969669,14
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,D121,3,0.9214876033057852,0.8759071117561683,0.8759071117561683,0.8759071117561683,0.9602040326740156,0.11426092520198726,11
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,D121,4,0.9256198347107438,0.8817475658648339,0.88375775168228,0.8827473792824991,0.966501337427581,0.09583220251843025,12
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,D121,5,0.9194214876033058,0.867164520416768,0.8851761446101069,0.8757233996326216,0.9615024769398697,0.11027281776496249,10
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,Vit,1,0.8801652892561983,0.8099768532257108,0.8132339358754452,0.8115871993127148,0.9297430699660545,0.011632528935941034,8
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,Vit,2,0.8925619834710744,0.8387207024831411,0.8090777147380921,0.8225606316976876,0.9181020523216064,0.00987317836521546,8
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,Vit,3,0.900137741046832,0.8588164817419388,0.8098363900250692,0.8309272820279732,0.9186148328515396,0.009151746260170946,10
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,Vit,4,0.8842975206611571,0.8182411019015114,0.8131679641113603,0.8156619622944923,0.9230829205100217,0.012176679183910485,8
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,Vit,5,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,,,8
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R18,1,0.9146005509641874,0.8606276993953355,0.8755772529357435,0.8677875295195798,0.9588486127937242,0.07820532866082623,15
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R18,2,0.9146005509641874,0.8632675956542277,0.8689800765272464,0.8660783619502124,0.9588306204944284,0.08482013851064824,12
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R18,3,0.9242424242424242,0.8809569747250627,0.878941812904077,0.8799440761286249,0.9584167976106226,0.058906934236100904,13
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R18,4,0.9201101928374655,0.8771997929606625,0.8671328671328671,0.8720319950402825,0.9556579783852512,0.06784401200151434,13
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R18,5,0.9180440771349863,0.8661152659394835,0.880360205831904,0.8729573796816215,0.9515497367126869,0.06720423306639929,15
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R34,1,0.9194214876033058,0.8787453610158786,0.8614263095395172,0.8696903800352076,0.9577300915208291,0.06499705878608215,10
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R34,2,0.9166666666666666,0.8650793650793651,0.875544267053701,0.8701600643834392,0.9559428564574362,0.05768318421386487,13
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R34,3,0.9207988980716253,0.8772241014217749,0.8702005541628183,0.8736469333010477,0.9493426813323896,0.056125987310001395,12
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R34,4,0.9194214876033058,0.872967122175619,0.8719817917931125,0.872473150405024,0.9540836521968598,0.06388368865191706,12
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R34,5,0.9235537190082644,0.8775184918795564,0.882471302282623,0.8799623737319195,0.9548303326176396,0.0583139898203672,14
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,TCEL,R50,1,0.9152892561983471,0.8658058052070404,0.8667700224303998,0.8662866306845365,0.9601560532092264,0.05067382801038112,13
