ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Densenet121,0.7662534435261708,0.027404065035536027,0.0007509827804718883,0.6992077611846466,0.014363475997963056,0.00020630944274406082,0.7887518142235124,0.013452486326061566,0.00018096938835287341,0.7100750594691269,0.02232840013649855,0.0004985574526555884,0.876101428588564,0.009015427582719051,8.127793449925146e-05,0.5114386921020312,0.02505259891217963,0.0006276327122545439,0.7516295025728987,0.8258741258741258
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Densenet169,0.8214876033057852,0.01876895510950266,0.000352273675902526,0.735701152256967,0.020737826127350773,0.00043005743248823237,0.8033513656155165,0.02249067085091747,0.0005058302753243087,0.7565582867018732,0.021596769385002716,0.00046642044786899053,0.8820250932600848,0.017222132411178072,0.00029660184478815026,0.49603020149251814,0.013547193958712248,0.0001835264641549696,0.8332761578044596,0.7734265734265733
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Vision,0.8192837465564737,0.013992754930248243,0.0001957971905379865,0.7315143977272027,0.01143342887386234,0.0001307232958136691,0.7932708800633329,0.00838355514228988,7.028399682381509e-05,0.7510699032755881,0.010818784936313343,0.0001170461074982005,0.8776151807026593,0.004202057213991057,1.7657284829654285e-05,0.3536952121980479,0.04512221982176593,0.002036014721643766,0.8361921097770155,0.7503496503496504
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet18,0.8639118457300275,0.006775963568181189,4.5913682277318754e-05,0.7924255726458134,0.01407007586510456,0.00019796703484979786,0.7550864230109513,0.014704719968318498,0.00021622878934666475,0.770739411016882,0.011573872966855298,0.00013395453545290384,0.8972705681968118,0.005284270966939109,2.7923519652035585e-05,0.3019649617297949,0.016849065037399347,0.0002838909926345131,0.9346483704974272,0.5755244755244755
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet34,0.865564738292011,0.012168858271931015,0.0001480811116423439,0.8019617692160921,0.020968718757231268,0.0004396871663198624,0.7397545850376039,0.026133351031797786,0.0006829520361511664,0.7636800557787707,0.024981322066103717,0.0006240664521704005,0.8896442322685891,0.017024705690523508,0.00028984060384894353,0.3060992284609221,0.016752325010682186,0.00028064039326352794,0.9473413379073756,0.5321678321678323
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet50,0.8603305785123968,0.009024404038732623,8.143986825429366e-05,0.7915804864486484,0.01406727426307261,0.00019788820519250504,0.7317456128776885,0.024810148684063765,0.0006155434777253509,0.7544914056085946,0.022198311012912253,0.0004927650118259814,0.8840060454125634,0.01628800551484436,0.0002652991236516002,0.33437250021847315,0.01858325776519891,0.0003453374691678256,0.9439108061749572,0.5195804195804196
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet101,0.8483471074380166,0.013665203107030932,0.00018673777595640785,0.7686841892425982,0.02459281229454279,0.0006048064165546151,0.7066037735849057,0.03885713523200439,0.0015098769584382767,0.7285034294404917,0.03764887622475604,0.0014174378809870005,0.8730817210234021,0.02623236465723978,0.0006881369555104028,0.34029531218149234,0.033545590467986566,0.0011253066398458713,0.9404802744425386,0.4727272727272728
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Resnet152,0.8453168044077135,0.012459665590443664,0.0001552432666256859,0.7661620460703759,0.02811078815321171,0.0007902164105947477,0.696272595329199,0.022177645126609087,0.0004918479433618078,0.7205422554786391,0.023690171388360732,0.0005612242204099054,0.8681278412839305,0.021071021043184254,0.0004439879278023136,0.34091061100204934,0.029683817823025812,0.0008811290405505848,0.9421955403087479,0.45034965034965035
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Densenet121,0.8677685950413224,0.009896768500826412,9.794602675894985e-05,0.8111422831262962,0.028156801378756483,0.000792805463882743,0.7390157012798523,0.009682269489020923,9.374634245802547e-05,0.7656256959480153,0.012442913420831257,0.0001548260943983026,0.8979410812172389,0.009175494291777903,8.418969549844889e-05,0.309842446209558,0.021976390070248028,0.00048296172051969617,0.9514579759862778,0.5265734265734265
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Densenet169,0.8630853994490358,0.01664616365179716,0.00027709476432241295,0.7995436933179895,0.03049903434312156,0.0009301910958629085,0.7297664599551392,0.03509675837995593,0.0012317824487810066,0.7554702694916612,0.03509460797595794,0.0012316315089861707,0.8915990955870887,0.01798189256407167,0.0003233484601858161,0.32518144597694676,0.03437529166425827,0.001181660677002824,0.9497427101200687,0.5097902097902097
224,basic,reduce_on_plateau,None,Adam,0.01,CrossEntropyLoss,Vision,0.8028925619834709,0.00030799834400822623,9.486297991180966e-08,0.441585307113987,0.08959959178799025,0.008028086848574489,0.5004420108193693,0.0009883662389001816,9.768678221976908e-07,0.446693547635774,0.0029413157124601593,8.651338120365015e-06,0.5380544626899686,0.08555759655113591,0.007320102327606945,0.4864544890523824,0.009992263368828356,9.984532723202901e-05,0.9994854202401372,0.0013986013986013986
224,basic,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet18,0.43939393939393934,0.33195306515464607,0.11019283746556471,0.21969696969696967,0.16597653257732303,0.02754820936639118,0.5,0.0,0.0,0.27688543771939156,0.1538120999695393,0.023658162097039546,0.5179860019911479,0.029771826128515744,0.0008863616310265727,1.1091883215918134e-12,2.0412462386834865e-12,4.1666862069394816e-24,0.4,0.6
224,basic,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet34,0.36308539944903584,0.26445491838547286,0.06993640385826712,0.23607154593884044,0.19060910865629094,0.036331832302745726,0.49497295157672516,0.011240822000625674,0.00012635607924975018,0.2673002145606469,0.14170371894297348,0.02007994396226922,0.48381112883685784,0.02454547749701974,0.0006024804655567024,0.0003163648633272895,0.0007074133383490131,5.004336312740953e-07,0.27735849056603773,0.7125874125874125
224,basic,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet50,0.5606060606060606,0.3319530651546461,0.11019283746556474,0.2803030303030303,0.16597653257732306,0.027548209366391185,0.5,0.0,0.0,0.33304967556642906,0.15381209996953926,0.023658162097039543,0.5283648598399885,0.04386653990844234,0.0019242733235389643,2.211918219651094e-18,4.942326549847606e-18,2.4426591725328536e-35,0.6,0.4
224,basic,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet101,0.19696969696969696,0.0,0.0,0.09848484848484848,0.0,0.0,0.5,0.0,0.0,0.16455696202531644,0.0,0.0,0.5,0.0,0.0,5.778896712853294e-23,1.289563126279124e-22,1.6629730566587876e-44,0.0,1.0
224,basic,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Resnet152,0.43939393939393934,0.33195306515464607,0.11019283746556471,0.21969696969696967,0.16597653257732303,0.02754820936639118,0.5,0.0,0.0,0.27688543771939156,0.1538120999695393,0.023658162097039546,0.5159060921925416,0.02181385219402268,0.00047584414754266814,1.2311242082012536e-24,2.548601604867173e-24,6.49537014033153e-48,0.4,0.6
224,basic,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Densenet121,0.6818181818181819,0.2710385427272472,0.07346189164370981,0.34090909090909094,0.1355192713636236,0.018365472910927452,0.5,0.0,0.0,0.3892139134134666,0.12558705373044243,0.015772108064693032,0.5248710551883795,0.03999227037650322,0.0015993816898673368,2.86983267956205e-18,6.324714748902843e-18,4.0002016654989153e-35,0.8,0.2
224,basic,reduce_on_plateau,None,Adam,0.01,ReverseCrossEntropyLoss,Densenet169,0.31818181818181823,0.27103854272724726,0.07346189164370982,0.15909090909090912,0.13551927136362363,0.018365472910927456,0.5,0.0,0.0,0.220721199872354,0.1255870537304424,0.01577210806469303,0.4878198131199847,0.02723572584236543,0.000741784762160492,1.5060670675647947e-19,3.367584147455037e-19,1.134062299019047e-37,0.2,0.8
