Model,rmv_inf_grad,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
efficientnet_b2,False,0.9045078888054094,0.00737016831237302,5.431938095270737e-05,0.8531410179521286,0.013671269892114066,0.00018690362046302456,0.8635484697294797,0.01045257565209421,0.00010925633776275273,0.85775538221392,0.009403523290443805,8.842625027391909e-05,0.9395032714759727,0.006471539911066102,4.188082882052145e-05,0.055408796564980836,0.010426405957108078,0.00010870994118241882,0.9338476145264658,0.7932493249324932
efficientnet_b3,True,0.9042819499341237,0.007392288177493976,5.4645924499117204e-05,0.8529838419654979,0.013595120431527007,0.0001848272995477231,0.8626896734400423,0.011142262958612589,0.00012415002383887015,0.857262315844714,0.009641414158309118,9.295686697204352e-05,0.9386374646092148,0.0076743033593812135,5.8894932051809785e-05,0.055067264469463854,0.010447449871565052,0.00010914920881886462,0.9340749990539977,0.7913043478260869
efficientnet_b3,False,0.9039600550964185,0.007581726808789589,5.748258140311876e-05,0.8526766139163003,0.01370876544827779,0.00018793025011589493,0.8616881662056545,0.012062343161446104,0.00014550012254448559,0.8566247772247441,0.010181105126332822,0.00010365490159344048,0.9377374116872088,0.008816970904448483,7.77389759298911e-05,0.05513383649655996,0.010252582344398225,0.0001051154447286662,0.9342399187699449,0.7891364136413641
efficientnet_b4,True,0.9021046831955921,0.011893947176716355,0.00014146597944251894,0.8498965117492425,0.019303373506865014,0.0003726202287455381,0.8597426948961215,0.015226072173940827,0.00023183327384605513,0.8541943886124808,0.015655453064794336,0.0002450932106639784,0.9360805866487433,0.011929703754795561,0.00014231783167718333,0.05717470865522928,0.014418957351951285,0.00020790633111739004,0.93244908616188,0.787036303630363
efficientnet_b4,False,0.9003655435473618,0.014606218174719405,0.00021334160936750345,0.8472693460848771,0.023114185972763136,0.0005342655931834801,0.8578273302325211,0.017823331695384043,0.00031767115272368147,0.8518798221484161,0.019306878895322475,0.0003727555726786484,0.9345948252186135,0.013944245577419518,0.00019444198472338378,0.05890831724889306,0.016614941830564185,0.0002760562920330315,0.9308361786168574,0.7848184818481848
efficientnet_b5,True,0.9009539842873175,0.014655167322059104,0.000214773929237549,0.8483305056104771,0.02334474798587266,0.0005449772585239056,0.8582171388012024,0.017665884580099597,0.00031208347799740067,0.8526223704067791,0.019343583876374127,0.00037417423718232116,0.9349510407959856,0.013816877175356134,0.0001909060948788773,0.0576805136824877,0.01748914524614408,0.00030587020144072404,0.9315669019759533,0.7848673756264516
efficientnet_b5,False,0.9017020857929948,0.014927537804221886,0.0002228313848964736,0.8495959381863475,0.02389389424095175,0.0005709181819977872,0.858940866111975,0.017803511046688432,0.0003169650055895571,0.853634843929951,0.019744124913128328,0.00038983046858521476,0.9355017523386059,0.01388447596392787,0.00019277867279289077,0.056564956635406616,0.018177427707945486,0.00033041887807758424,0.932332463011314,0.7855492692126357
regnety_008,True,0.901895126816757,0.01472214969537624,0.00021674169165306672,0.8497588237936793,0.02352558216661848,0.0005534530162783174,0.859472529588423,0.017779555615996052,0.0003161125979022968,0.853978341577773,0.01951565156259046,0.0003808606559124394,0.9356906411808013,0.013682082468346068,0.00018719938067062283,0.05675509160648146,0.017919294536465815,0.00032110111668461365,0.9322829446895353,0.7866621144873107
regnety_008,False,0.902093663911846,0.014527065192220207,0.00021103562309901592,0.8498765599861202,0.0231558895242486,0.000536195219659206,0.8601828537945179,0.017923756793717726,0.00032126105760034234,0.8543733619265653,0.019325419607138718,0.00037347184299198156,0.9359150780178106,0.013513570004201487,0.00018261657425845419,0.0572360339058541,0.01785141254270613,0.0003186729297698858,0.9321148825065275,0.7882508250825082
regnety_016,True,0.9023504843152935,0.014375657837060867,0.00020665953824824953,0.8501557198928836,0.02286229600491184,0.0005226845786162078,0.8607511732391129,0.017935010156787782,0.0003216645893240809,0.8547964562538838,0.019172148517896035,0.00036757127879226317,0.9360576923522386,0.013324481528238135,0.00017754180799635925,0.0571675844093318,0.017580907042305118,0.00030908829243017367,0.9321485723911396,0.7893537740870862
regnety_016,False,0.9024664256198346,0.01420167162098056,0.00020168747683016458,0.8502954649415301,0.022592453102649308,0.0005104189371954083,0.86093931765892,0.017696652055062625,0.0003131714939579522,0.8549696440565144,0.01893565535932332,0.00035855904388706997,0.9362400437171654,0.01317748235013424,0.0001736460410880994,0.05699389838133342,0.017363357986293234,0.0003014862005601731,0.9322127937336816,0.7896658415841584
resnext101_32x8d,True,0.9024709909007429,0.01407785665173663,0.00019818604790684528,0.8502643694481758,0.02242378680503423,0.0005028262146776273,0.8610795805429107,0.017491073047370787,0.00030593763634846074,0.8550133428973881,0.01873324943288199,0.0003509346343145734,0.9363984266137667,0.013010455334191403,0.0001692719480029895,0.05674975376310817,0.017199258338547428,0.0002958144873960932,0.9321201571854314,0.7900390039003901
resnext101_32x8d,False,0.9024509803921568,0.013906836772822461,0.00019340010902592702,0.8501523788382734,0.0221911199416155,0.0004924458042631651,0.8612962931986642,0.017337283720313703,0.0003005814067986545,0.8550480430864866,0.018488980811321533,0.0003418424114414158,0.9365482869896572,0.012850866435198609,0.0001651447681353142,0.05672134403102925,0.016984021134765062,0.0002884569739061463,0.93193057902012,0.7906620073772084
Vision,True,0.9021015348288074,0.013888820568683105,0.00019289933678907488,0.8502531055224417,0.021962888370348734,0.0004823684655683997,0.8594310531388835,0.020331981742853018,0.0004133894815917084,0.8540365593175004,0.01921605728766416,0.000369256857682791,0.9356201341879806,0.013816841478380755,0.0001909051084387029,0.05544516007921711,0.01832863728539472,0.0003359389447395615,0.9326669153301007,0.786195190947666
Vision,False,0.9017715029078665,0.013863658918420674,0.00019220103860630508,0.8503482362797118,0.02174477800605251,0.00047283537053250486,0.8576694375268684,0.022659889900183326,0.0005134706102884304,0.853081269091236,0.01983054296601455,0.0003932504343269492,0.9347435454308411,0.014616274126683978,0.00021363546934637147,0.05423987523583899,0.01943606714248989,0.00037776070596737515,0.9333623440673048,0.7819765309864319
