Model,rmv_inf_grad,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
R101,True,5,0.8946280991735537,0.8335171267599745,0.8665951451542021,0.8482017362546507,0.9395399069933102,0.05452858939190793,11,0.9147084421235857,0.8184818481848185
R101,False,1,0.8911845730027548,0.8275007553617992,0.8704943601409749,0.8457562392426851,0.9360729806662128,0.06734019899651117,12,0.9060052219321149,0.834983498349835
R101,False,2,0.9028925619834711,0.84958071278826,0.8620970452136598,0.8555930094523478,0.9406802299028859,0.04974491107526656,14,0.9321148825065274,0.7920792079207921
R101,False,3,0.8980716253443526,0.8419808787195187,0.8566209101327887,0.8489541160593792,0.9322843511505197,0.04908899788551205,17,0.927763272410792,0.7854785478547854
R101,False,4,0.8960055096418733,0.8369388236050261,0.8613904471387086,0.8481717412967019,0.9443453483729574,0.06098648065598914,15,0.9208006962576153,0.801980198019802
R101,False,5,0.8987603305785123,0.8439282848992691,0.8546260631285061,0.8490937949611677,0.9442218373273359,0.05477326251230897,14,0.9303742384682332,0.7788778877887789
R152,True,1,0.9028925619834711,0.8473262032085562,0.8693870692552284,0.8575819992862823,0.9442735396255031,0.06160538407861281,12,0.9268929503916449,0.8118811881188119
R152,True,2,0.8932506887052342,0.8297870206962938,0.877874863204336,0.8497940725187758,0.9336372279525603,0.06124839328933043,9,0.9042645778938208,0.8514851485148515
R152,True,3,0.8925619834710744,0.8309931727424964,0.8616446501046972,0.8447131218344408,0.940338420265003,0.058189921008045445,15,0.9147084421235857,0.8085808580858086
R152,True,4,0.9077134986225895,0.8577671686670949,0.8663581762876027,0.8619505494505495,0.9430441738690842,0.046556496311316246,18,0.9373368146214099,0.7953795379537953
R152,True,5,0.9070247933884298,0.8505916232008279,0.8853630793888789,0.8660603555188094,0.9441816244287614,0.055064944588110974,15,0.9225413402959095,0.8481848184818482
R152,False,1,0.9035812672176309,0.8492089277182444,0.8673922222509457,0.8577793200720898,0.9448422649053416,0.05010342729831594,12,0.9295039164490861,0.8052805280528053
R152,False,2,0.9056473829201102,0.8544854644980019,0.8638376892519539,0.8590270282528476,0.9443999230210227,0.05044953398911484,13,0.9355961705831157,0.7920792079207921
R152,False,3,0.9084022038567493,0.8595135868030055,0.865578333290248,0.8624905029468457,0.9416051265700982,0.050594982497505214,14,0.939077458659704,0.7920792079207921
R152,False,4,0.9104683195592287,0.8587074413863405,0.8790338563882498,0.8682414038614565,0.9432682171611416,0.04237677904512784,19,0.9329852045256745,0.8250825082508251
R152,False,5,0.9077134986225895,0.8559789120536784,0.871218192315315,0.8632422402159244,0.9372104312258902,0.05064022178249912,14,0.9338555265448216,0.8085808580858086
D121,True,1,0.9111570247933884,0.8621300588340168,0.8733939973631828,0.8675721057822492,0.9483809999798936,0.04756623361597108,15,0.938207136640557,0.8085808580858086
D121,True,2,0.9104683195592287,0.8613561167650878,0.8717438323466811,0.8663880607157115,0.9408956561452488,0.06038605341427965,13,0.938207136640557,0.8052805280528053
D121,True,3,0.9008264462809917,0.8513708513708513,0.8462115141018018,0.84875,0.9353290420425855,0.0705057850716405,11,0.9399477806788512,0.7524752475247525
D121,True,4,0.9132231404958677,0.8723460933962013,0.8613344363156943,0.8666666666666667,0.946206631106975,0.048312898590492884,14,0.9503916449086162,0.7722772277227723
D121,True,5,0.9084022038567493,0.8580852201818505,0.8692233453110325,0.8634658144886755,0.9479846156939453,0.05748301471521719,11,0.9364664926022629,0.801980198019802
D121,False,1,0.8966942148760331,0.8407065134312595,0.8521055760928573,0.8461951302186317,0.9427856623782481,0.06838090351831716,11,0.9286335944299391,0.7755775577557755
D121,False,2,0.8911845730027548,0.8286750035860054,0.8619893320924782,0.843412736331991,0.9369978773334253,0.0773551353181774,9,0.9120974760661444,0.8118811881188119
D121,False,3,0.9056473829201102,0.8558941058941059,0.8601926772311697,0.8580151789085546,0.9328099911818859,0.06163668703101178,16,0.938207136640557,0.7821782178217822
D121,False,4,0.9077134986225895,0.860283156252962,0.860283156252962,0.860283156252962,0.9411225717872048,0.0731155680516423,9,0.9416884247171453,0.7788778877887789
D121,False,5,0.90633608815427,0.8548312233355105,0.8667028582753837,0.8605502513982262,0.9384311799326147,0.0695841703554766,9,0.9347258485639687,0.7986798679867987
D169,True,1,0.9035812672176309,0.8507955919342959,0.8625322062232332,0.8564487882040562,0.950090048169308,0.05091312636542759,12,0.9329852045256745,0.7920792079207921
D169,True,2,0.9111570247933884,0.8607568845160227,0.8770390093839671,0.8684981132075471,0.9440667304328345,0.054543460795110035,9,0.9355961705831157,0.8184818481848185
D169,True,3,0.90633608815427,0.8548312233355105,0.8667028582753837,0.8605502513982262,0.9439977940352783,0.051182035586187696,12,0.9347258485639687,0.7986798679867987
D169,True,4,0.9084022038567493,0.8547977624784854,0.8789433773664572,0.865967525324209,0.9406543787538023,0.06031061829297934,9,0.9295039164490861,0.8283828382838284
D169,True,5,0.9166666666666666,0.8723776223776223,0.8768752854397711,0.8745973477951468,0.9499694094735845,0.05129575886188151,11,0.9451697127937336,0.8085808580858086
D169,False,1,0.9104683195592287,0.8613561167650878,0.8717438323466811,0.8663880607157115,0.9444746041183751,0.04310662056259906,12,0.938207136640557,0.8052805280528053
D169,False,2,0.90633608815427,0.8552749507894626,0.8654878542684555,0.8602213558256674,0.9500297288214461,0.05892079131534757,9,0.9355961705831157,0.7953795379537953
D169,False,3,0.9070247933884298,0.856517188496972,0.8659230152780291,0.8610850278403973,0.9390516075106204,0.050305235203358556,11,0.9364664926022629,0.7953795379537953
