Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
p2,5,0.8577694235588973,0.8262834239279635,0.7096381971947583,0.7443691889981069,0.8837381586250365,0.07931147965210189,0.9666136724960255,0.4526627218934911,0.9674185463659147,0.965175452074464,0.9737706119937625,0.9683470853755759,0.9992699345389899,0.2379902500095561,0.9910179640718563,0.9096153846153846,0.9976958525345622,0.9967532467532467,16
p3,1,0.8709273182957393,0.8251749067164179,0.7623399591725384,0.7869534451520594,0.8779926811601019,0.08395676398472622,0.9507154213036566,0.5739644970414202,0.9179197994987469,0.914594213447873,0.9267619959719631,0.9184355621433204,0.9888752696034809,0.7254358525536504,0.9191616766467066,0.823076923076923,0.9907834101382489,0.974025974025974,16
p3,2,0.8677944862155389,0.8190225587943846,0.7581890104514539,0.7820652789417655,0.8923387362301389,0.07627865131449481,0.9483306836248012,0.5680473372781065,0.8947368421052632,0.8965001333749406,0.9094778989602247,0.8969284343343717,0.9857281827281732,0.7601487488021341,0.9311377245508982,0.7461538461538462,0.9930875576036866,0.9675324675324676,16
p3,3,0.8671679197994987,0.8375299923655797,0.7329093799682035,0.7671516069093662,0.8678422592449742,0.06628679622646544,0.965818759936407,0.5,0.9298245614035088,0.9262703109066692,0.9344926598898494,0.9293000069754302,0.9926053623457904,0.6918723708466737,0.9341317365269461,0.8673076923076923,0.988479262672811,0.948051948051948,17
p3,4,0.8715538847117794,0.8322472477836811,0.7551645798252133,0.7837436968207984,0.8912686616306525,0.06587331434027711,0.9570747217806042,0.5532544378698225,0.9304511278195489,0.9300326298338263,0.9393866166188458,0.931880912803696,0.9941112099055053,0.6445851023379219,0.9580838323353293,0.8365384615384616,0.9953917050691244,0.9675324675324676,17
p3,5,0.8703007518796992,0.858476644742971,0.7262419920790961,0.7654818854185375,0.8794625638517042,0.06215570138716607,0.9761526232114467,0.47633136094674555,0.931077694235589,0.9283571647927399,0.9416162695716491,0.9322544938242021,0.9921005541952201,0.7270828474726707,0.9491017964071856,0.8307692307692308,0.9930875576036866,0.9935064935064936,16
p4,1,0.8665413533834586,0.8216902539395765,0.7487394286036819,0.7759063830965378,0.8783054721968748,0.0914827246376665,0.9531001589825119,0.5443786982248521,0.868421052631579,0.8662618874631333,0.878729519707644,0.868184121664598,0.9757574426849767,1.0121917520107722,0.8532934131736527,0.7403846153846154,0.9861751152073732,0.935064935064935,16
p4,2,0.8665413533834586,0.820926297980332,0.7498212622647011,0.7765039476097715,0.8862851713530446,0.08142056118380617,0.9523052464228935,0.5473372781065089,0.8370927318295739,0.8377454644669834,0.8512716072318641,0.8377338310205573,0.9654388007937906,1.060775405727727,0.8383233532934131,0.6673076923076923,0.9838709677419355,0.9155844155844156,16
p4,3,0.8671679197994987,0.8217524841915086,0.7513005522055296,0.7778489789057904,0.8871882672787649,0.07387682346244881,0.9523052464228935,0.5502958579881657,0.8596491228070176,0.8545873516496216,0.866430296813482,0.8573454670607166,0.9753444912673469,1.0208112076993456,0.8413173652694611,0.7596153846153846,0.9654377880184332,0.8993506493506493,16
p4,4,0.8652882205513784,0.8156963791170143,0.7522718506881403,0.7767746493441609,0.879199160873369,0.07602229784581348,0.9483306836248012,0.5562130177514792,0.8840852130325815,0.8855391857289838,0.8956120950712413,0.885799574276183,0.982554618186225,0.9270907833128702,0.8982035928143712,0.7615384615384615,0.9746543778801844,0.948051948051948,16
p4,5,0.8778195488721805,0.8318216175359032,0.7818576495047083,0.8026494761225651,0.8885970028503966,0.08808903488763543,0.9483306836248012,0.6153846153846154,0.8652882205513784,0.859905494103225,0.8753870103722817,0.8633182214886408,0.9734883422885581,1.0438231984643882,0.8592814371257484,0.7519230769230769,0.9585253456221198,0.9318181818181818,16
