Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,scanner_Acc_class_0,scanner_Acc_class_1,scanner_Acc_class_2,num_epochs_trained
0,1,0.8665413533834586,0.8257929523047809,0.7433302602985861,0.772851767784251,0.8814028090046189,0.08382452216731602,0.9570747217806042,0.5295857988165681,0.35902255639097747,0.41116405065680434,0.33793129630129237,0.2303081011515634,0.5420859899082534,1.0453942138132593,0.03936039360393604,0.7285318559556787,0.2459016393442623,16
0,2,0.8721804511278195,0.8330383192743875,0.7566438697660417,0.7850873950467339,0.8879008664076539,0.07311223124780315,0.9570747217806042,0.5562130177514792,0.38283208020050125,0.25822011721116145,0.2909999957362999,0.21257894380896916,0.47695472085318613,1.0057140497316563,0.7404674046740467,0.0013850415512465374,0.13114754098360656,16
0,3,0.868421052631579,0.8166921417011329,0.7650774686973782,0.786129425007466,0.8782090478923057,0.08353909637363162,0.9443561208267091,0.5857988165680473,0.44047619047619047,0.4825234441602728,0.32440637425764834,0.20659212941519564,0.30996490813008354,0.957671627153527,0.0036900369003690036,0.9695290858725761,0.0,16
0,4,0.8615288220551378,0.8119816046645314,0.7412324437211315,0.7674897214288021,0.885372668178098,0.07368317794760951,0.9499205087440381,0.5325443786982249,0.40538847117794485,0.2854114200518013,0.3156205268968815,0.27432871093590716,0.4920831367523539,1.0541812313453993,0.6691266912669127,0.13019390581717452,0.14754098360655737,16
0,5,0.8671679197994987,0.832212124788544,0.7383185482732995,0.7704407294832827,0.8819672439581941,0.07541554152527358,0.9618441971383148,0.514792899408284,0.4517543859649123,0.411187837784452,0.3927011673731468,0.3533025106984491,0.6077014574392653,1.0525581834589035,0.6002460024600246,0.29916897506925205,0.2786885245901639,16
p1,1,0.8759398496240601,0.8431580259222333,0.7590286074448971,0.789711006353761,0.8853632609288717,0.08420598163531134,0.9618441971383148,0.5562130177514792,0.9849624060150376,0.950031231581047,0.9241416450311816,0.9363407840974961,0.9982511918792057,0.06502601135270906,0.993849938499385,0.9916897506925207,0.7868852459016393,16
p1,2,0.8715538847117794,0.8452738999376926,0.741100742231964,0.7758069080635646,0.8858101052671189,0.0729802393473938,0.9674085850556439,0.514792899408284,0.9843358395989975,0.9348675646279477,0.9185221349057412,0.9263880885899458,0.9971779704205949,0.05473123957138965,0.997539975399754,0.9875346260387812,0.7704918032786885,16
p1,3,0.8734335839598998,0.8263157894736842,0.7715026199189094,0.7937551818377228,0.894116706333901,0.08820834902508866,0.9483306836248012,0.5946745562130178,0.9805764411027569,0.9041339540511041,0.9357115768151459,0.9186678379541743,0.9979885987219266,0.06986879309098172,0.998769987699877,0.9722991689750693,0.8360655737704918,16
p1,4,0.8646616541353384,0.819977475526293,0.7432197251201776,0.7712155963302753,0.886111137242359,0.08023512745116314,0.9538950715421304,0.5325443786982249,0.981829573934837,0.9274757933084076,0.9118793181483426,0.9193585358686113,0.9980530891714544,0.06022207540059784,0.992619926199262,0.9889196675900277,0.7540983606557377,16
p1,5,0.8709273182957393,0.8411337209302325,0.7428669532741932,0.7763081620822821,0.8971858213939662,0.07318515906287189,0.9650238473767886,0.5207100591715976,0.9793233082706767,0.9364592574419075,0.8950758714253507,0.9136670210110088,0.995399054215644,0.07288261219407141,0.991389913899139,0.9889196675900277,0.7049180327868853,16
p2,1,0.8721804511278195,0.8437698202959831,0.7447436994948307,0.778479927498959,0.8847659006030046,0.08396502322647939,0.965818759936407,0.5236686390532544,0.956140350877193,0.8858567043130332,0.8291542463129096,0.8523256579225814,0.9865667360751166,0.2353755434385133,0.9630996309963099,0.9833795013850416,0.5409836065573771,16
