ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,TotalCrossEntropyLoss,Resnet50,0.9117079889807164,0.004706432386575739,2.2150505809409005e-05,0.8713176630793894,0.008123533677439218,6.599179940848915e-05,0.8410542287900779,0.01708287526622423,0.0002918246273613756,0.8545269859299237,0.01025475139034848,0.0001051599260778541,0.9425041082416726,0.007581148800429208,5.747381713424923e-05,0.03041475633505451,0.004127212201106721,1.7033880552964184e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,TotalCrossEntropyLoss,Resnet101,0.9119834710743803,0.002454342931295536,6.023799224400363e-06,0.8804218278724495,0.014911586947789063,0.00022235542530147317,0.8306702731231035,0.015431411183832655,0.00023812845112451553,0.8515063269300891,0.005910284771229573,3.493146607702821e-05,0.9407402631673645,0.006453409807506142,4.164649814361646e-05,0.02790680417948891,0.0050382183089265065,2.5383643728402266e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,TotalCrossEntropyLoss,Densenet121,0.9101928374655646,0.004635349495995533,2.148646495002604e-05,0.8726081063048181,0.00770438363220003,5.9357527152111724e-05,0.8321942208734662,0.012135922466581019,0.0001472806141148659,0.8500523012476515,0.008801741434894199,7.747065228673339e-05,0.9229788650457603,0.009195858065819617,8.456380556669969e-05,0.031799969996771406,0.004402102580758093,1.9378507131517064e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,FocalLoss,Resnet18,0.896831955922865,0.0034914027150514124,1.2189892918668373e-05,0.8374707451322537,0.0068909519087308226,4.7485218208440964e-05,0.8362778730703259,0.010302336434652337,0.00010613813601276502,0.8366658324322582,0.005968237779295935,3.561986219021527e-05,0.9332203816766423,0.008470499165210855,7.174935610783779e-05,0.1584920373631042,0.005396139398991194,2.9118320413345045e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,FocalLoss,Resnet34,0.9034435261707989,0.005365716578727968,2.8790914403236168e-05,0.8497221734690814,0.0074390087024512625,5.533885047514562e-05,0.8425056075999473,0.01848770557284727,0.00034179525734828796,0.8456696694300836,0.011282351764999398,0.00012729146134918504,0.9312682172030369,0.0071392915604361765,5.096948398491522e-05,0.13712714608851154,0.01229383202040398,0.00015113830574591019
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,FocalLoss,Resnet50,0.9082644628099172,0.0034914027150513972,1.2189892918668267e-05,0.8547146206451502,0.005140601730957245,2.6425786156320627e-05,0.8565905792320887,0.01596800521408913,0.00025497719051717764,0.8553102694297425,0.007858205924097887,6.175140034552711e-05,0.9430933560436132,0.005638071591979115,3.178785127628191e-05,0.1324658124862906,0.011885053989529033,0.00014125450833401998
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,FocalLoss,Resnet101,0.9052341597796143,0.008499303453980644,7.223815920284731e-05,0.8559625743171096,0.012992381381148724,0.00016880197395322002,0.8383427892861857,0.02304234922832452,0.0005309498579600675,0.8462494222224439,0.01661961443801049,0.0002762115840681267,0.9405294533939473,0.004787875684234208,2.2923753567681184e-05,0.12712258849630204,0.008666352183001295,7.510566015981132e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,FocalLoss,Densenet121,0.9055096418732782,0.006186858038974051,3.827721239441785e-05,0.8551957070981571,0.01504304433918868,0.0002262931829907966,0.8422087346615648,0.007755422117221799,6.014657221629304e-05,0.8481131680034639,0.007514574645516191,5.6468832103034787e-05,0.935609759023138,0.004476177171980563,2.0036162074959908e-05,0.16465246923530996,0.011598755051330222,0.00013453111874075832
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,CrossEntropyLoss,Resnet18,0.8039944903581266,0.0151952786452029,0.00023089649310535925,0.7098074220629484,0.011898953715248316,0.00014158509951762172,0.7597374323789419,0.012592712033396944,0.00015857639635606018,0.7260019327038627,0.0119094519115401,0.00014183504483328616,0.8438310403147453,0.009610731831739428,9.236616634160949e-05,0.2992960087407389,0.041788350407055676,0.0017462662297428704
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,CrossEntropyLoss,Resnet34,0.7966942148760331,0.011352152140021797,0.00012887135821020146,0.6396150816171329,0.13311066055626863,0.017718447953726173,0.6971368254387122,0.11202085820585247,0.012548672673175705,0.6597027882480736,0.11982290641925986,0.014357528902758704,0.7756645155873285,0.14521170624893462,0.02108643963172688,0.35479108525634795,0.2068545781659311,0.042788816508205305
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,CrossEntropyLoss,Resnet50,0.7399449035812671,0.07523864341718071,0.0056608534632576705,0.6006795033231196,0.11587174747282479,0.013426261862406079,0.6641773321018605,0.09680936151565905,0.009372052477069568,0.6108780868235081,0.10588447103724516,0.01121152120683721,0.7287262051841811,0.1114909073216043,0.01243022241539456,0.5154574812055389,0.1237350212670272,0.015310355487951677
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,CrossEntropyLoss,Resnet101,0.7739669421487603,0.03569128080842454,0.0012738675257458138,0.6866766470460458,0.03153260051772651,0.000994304895410526,0.7484298720147777,0.028970982101238114,0.0008393178039102591,0.7011093476557478,0.035843611263383625,0.0012847644684005617,0.8155915268265183,0.04313002413299767,0.0018601989817129613,0.41811792618543003,0.0922413342544692,0.008508463745044713
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,CrossEntropyLoss,Densenet121,0.8236914600550964,0.00836429600653659,6.996144768496393e-05,0.7358900162433749,0.004871618741045642,2.373266915810712e-05,0.7975986277873071,0.009380265053766499,8.7989372478913e-05,0.7560401569743045,0.004501718919829553,2.0265473233151355e-05,0.8880117309791409,0.005090751523079221,2.5915751069733406e-05,0.35268973164635925,0.0210607337796098,0.0004435545073355973
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,ReverseCrossEntropyLoss,Resnet18,0.43939393939393934,0.33195306515464607,0.11019283746556471,0.21969696969696967,0.16597653257732303,0.02754820936639118,0.5,0.0,0.0,0.27688543771939156,0.1538120999695393,0.023658162097039546,0.5001595317204236,0.003456820756863265,1.1949609745080715e-05,6.527949562938704e-11,1.1123280626116745e-10,1.2372737188734411e-20
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,ReverseCrossEntropyLoss,Resnet34,0.43939393939393934,0.33195306515464607,0.11019283746556471,0.21969696969696967,0.16597653257732303,0.02754820936639118,0.5,0.0,0.0,0.27688543771939156,0.1538120999695393,0.023658162097039546,0.5210566877376482,0.0293650944223127,0.0008623087704313405,2.777634692415564e-13,2.9932119889623326e-13,8.959318010867844e-26
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,ReverseCrossEntropyLoss,Resnet50,0.5606060606060606,0.3319530651546461,0.11019283746556474,0.2803030303030303,0.16597653257732306,0.027548209366391185,0.5,0.0,0.0,0.33304967556642906,0.15381209996953926,0.023658162097039543,0.47849710323981337,0.023947281283094413,0.000573472280851644,1.4620358986720095e-21,3.2672861299990535e-21,1.0675158655284192e-41
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,ReverseCrossEntropyLoss,Resnet101,0.19696969696969696,0.0,0.0,0.09848484848484848,0.0,0.0,0.5,0.0,0.0,0.16455696202531644,0.0,0.0,0.5,0.0,0.0,5.608317653060877e-19,1.2507934678983541e-18,1.5644842993371912e-36
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,ReverseCrossEntropyLoss,Densenet121,0.6818181818181819,0.2710385427272472,0.07346189164370981,0.34090909090909094,0.1355192713636236,0.018365472910927452,0.5,0.0,0.0,0.3892139134134666,0.12558705373044243,0.015772108064693032,0.49246182633832725,0.025176256796953365,0.0006338439063061405,2.1961738242047294e-14,2.989895373490587e-14,8.939474344420418e-28
224,none,reduce_on_plateau,equal_weight,AdamW,0.01,TotalCrossEntropyLoss,Resnet18,0.7904958677685949,0.014392126897628763,0.0002071333166374493,0.689489981321428,0.017417348304583365,0.000303364021963173,0.7315411004090249,0.019470230874611954,0.0003790898903106926,0.7040018340449123,0.01833334379367765,0.00033611149465717876,0.8212764936607133,0.019090997725981006,0.00036446619417341197,0.20134448187002807,0.03683801078437677,0.001357039038549859
